participant,gender,nick,Experiment,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.628a888e-1d5d-40e1-a224-47d50fa04fe0.txt,3921,17726,"",11040,2019-04-18-17-02,2019-04-18-17-05,3
s.e5a3db54-05e2-4520-b7df-7bc8f243a74c.txt,2596,4458,"",1086,2019-04-18-17-11,2019-04-18-17-12,1
s.b697a76d-9fae-43b5-b84c-275829558d16.txt,5856,11274,"",10453,2019-04-18-17-07,2019-04-18-17-08,1
s.bd8f3359-fbb3-407d-85d0-9a1791f6ca43.txt,2866,3889,"",3944,2019-04-18-17-06,2019-04-18-17-08,2
s.652c942c-8db9-441c-80dd-416f444be807.txt,1994,1770,"",2682,2019-04-17-21-39,2019-04-17-21-43,4
s.0df71c4d-268c-4bd8-9be6-3084e2000043.txt,"","","",3346,2019-04-18-17-06,"",""
s.892c3a24-f5af-40e1-8a0d-36334988ab86.txt,2574,5318,"",116553,2019-04-18-17-04,2019-04-18-17-05,1
