DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
5,48XX ESTE AV,39.1795175588304,-84.5078178416202,WINTON HILLS,WINTON HILLS,"1,634",51106275,1,"CIN, OH 45215",BLACK,MALE,28,NONFATAL,11/05/2011 12:00:00 AM,NOV,132000,13,SAT,51106275,11/05/2011 01:20:00 PM,DISTRICT 5,45232,WINTON HILLS
4,49XX READING RD,39.176220131649,-84.4669800371676,BOND HILL,BOND HILL,"3,692",169027094,1,,BLACK,MALE,26,NONFATAL,10/16/2016 12:00:00 AM,OCT,225000,22,SUN,169027094,10/16/2016 10:50:00 PM,DISTRICT 4,,BOND HILL
5,27XX W NORTH BEND RD,39.18843981796,-84.5744083007997,MT AIRY,MT. AIRY,"2,599",149010119,3,"CINCINNATI, OH 45205",BLACK,FEMALE,24,FATAL,05/03/2014 12:00:00 AM,MAY,011800,1,SAT,149010119,05/03/2014 01:18:00 AM,DISTRICT 5,45239,MOUNT AIRY
3,7XX MT HOPE AV,39.1046887406467,-84.5577442881615,EAST PRICE HILL,EAST PRICE HILL,"1,771",129007629,1,"CINC, OH 45205",WHITE,MALE,24,NONFATAL,03/27/2012 12:00:00 AM,MAR,050700,5,TUE,129007629,03/27/2012 05:07:00 AM,DISTRICT 3,45204,EAST PRICE HILL
4,23XX BOONE ST,39.1250384013265,-84.4961690931503,WALNUT HILLS,WALNUT HILLS,"3,334",159034036,2,"CINCINNATI, OH 45214",BLACK,MALE,20,NONFATAL,12/20/2015 12:00:00 AM,DEC,161800,16,SUN,159034036,12/20/2015 04:18:00 PM,DISTRICT 4,,WALNUT HILLS
4,3XX SHEA PL,39.1271669130783,-84.5023883703315,CORRYVILLE,CORRYVILLE,"2,261",139015323,1,"CINC, OH 45219",BLACK,MALE,21,NONFATAL,06/16/2013 12:00:00 AM,JUN,125000,12,SUN,139015323,06/16/2013 12:50:00 PM,DISTRICT 4,45219,MOUNT AUBURN
5,55XX GOLDENROD DR,39.1965732341402,-84.5729792926678,MT AIRY,MT. AIRY,"1,781",129008478,1,"CINC, OH 45239",BLACK,MALE,33,NONFATAL,04/03/2012 12:00:00 AM,APR,220700,22,TUE,129008478,04/03/2012 10:07:00 PM,DISTRICT 5,45239,MOUNT AIRY
5,46XX NORTH EDGEWOOD AV,39.1756451413244,-84.5152499489628,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,70,50801881,1,,WHITE,MALE,37,NONFATAL,04/05/2008 12:00:00 AM,APR,,N/A,SAT,50801881,04/05/2008 12:00:00 AM,DISTRICT 5,45232,SPRING GROVE VILLAGE
3,8XX FAIRBANKS AV,39.1080829873895,-84.568817558405,EAST PRICE HILL,EAST PRICE HILL,"3,404",169005320,1,"CINCINNATI, OH 45214",BLACK,MALE,19,NONFATAL,03/08/2016 12:00:00 AM,MAR,132500,13,TUE,169005320,03/08/2016 01:25:00 PM,DISTRICT 3,,EAST PRICE HILL
4,4XX ROCKDALE AVE,39.1445470499246,-84.4993826211742,AVONDALE,AVONDALE,"2,744",149022615,1,"CINC, OH 45202",BLACK,MALE,30,NONFATAL,09/08/2014 12:00:00 AM,SEP,204500,20,MON,149022615,09/08/2014 08:45:00 PM,DISTRICT 4,45229,AVONDALE
5,63XX DALY RD,39.2039745460808,-84.5319365664885,COLLEGE HILL,COLLEGE HILL,"4,330",189016369,3,,BLACK,MALE,40,NONFATAL,06/19/2018 12:00:00 AM,JUN,204000,20,TUE,189016369,06/19/2018 08:40:00 PM,DISTRICT 5,,
1,10XX BANK ST,39.118678765185,-84.5318962009539,WEST END,WEST END,67,10801437,1,,BLACK,MALE,27,NONFATAL,04/01/2008 12:00:00 AM,APR,,N/A,TUE,10801437,04/01/2008 12:00:00 AM,DISTRICT 1,45214,WEST END
1,16XX HAMER ST,39.1144349896201,-84.5151202331741,OVER-THE-RHINE,OVER-THE-RHINE,830,10906073,1,,BLACK,FEMALE,62,NONFATAL,12/27/2009 12:00:00 AM,DEC,,N/A,SUN,10906073,12/27/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,7XX RIDGEWAY AV,39.1379456592205,-84.4937869651925,AVONDALE,AVONDALE,612,40904452,1,,BLACK,FEMALE,19,NONFATAL,06/29/2009 12:00:00 AM,JUN,,N/A,MON,40904452,06/29/2009 12:00:00 AM,DISTRICT 4,45229,AVONDALE
5,44XX CRAWFORD AV,39.1677802170748,-84.5317809257859,NORTHSIDE,NORTHSIDE,"3,133",159020113,1,"CINTI, OH 45226",BLACK,MALE,25,NONFATAL,07/30/2015 12:00:00 AM,JUL,153000,15,THU,159020113,07/30/2015 03:30:00 PM,DISTRICT 5,45223,NORTHSIDE
1,1XX E CLIFTON AV,39.1155923238315,-84.5148653733303,OVER-THE-RHINE,OVER-THE-RHINE,"3,265",159029154,1,"CINCINNATI, OH 45202",BLACK,MALE,34,NONFATAL,10/24/2015 12:00:00 AM,OCT,034500,3,SAT,159029154,10/24/2015 03:45:00 AM,DISTRICT 1,,OTR
2,62XX DESMOND,39.1623303050041,-84.3898445865127,MADISONVILLE,MADISONVILLE,"2,157",139008169,1,"CINC, OH 45227",BLACK,MALE,40,NONFATAL,04/08/2013 12:00:00 AM,APR,221000,22,MON,139008169,04/08/2013 10:10:00 PM,DISTRICT 2,45227,MADISONVILLE
4,35XX READING RD,39.1453304753041,-84.4899771333725,AVONDALE,AVONDALE,313,40807344,1,,WHITE,MALE,44,NONFATAL,10/01/2008 12:00:00 AM,OCT,,N/A,WED,40807344,10/01/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE
0,4XX E MEHRING WY,39.0990435188567,-84.5031923064816,CBD/RIVERFRONT,DOWNTOWN,"3,637",169022890,1,,BLACK,MALE,17,NONFATAL,09/04/2016 12:00:00 AM,SEP,211600,21,SUN,169022890,09/04/2016 09:16:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
3,19XX KNOB CT,39.139388225745,-84.5535211915317,ENGLISH WOODS,ENGLISH WOODS,"4,131",179047555,1,,BLACK,MALE,18,FATAL,11/04/2017 12:00:00 AM,NOV,214900,21,SAT,179047555,11/04/2017 09:49:00 PM,DISTRICT 3,,ENGLISH WOODS
4,19XX SEYMOUR AV,39.1853957914108,-84.4589524869977,ROSELAWN,ROSELAWN,1,4080002,1,,BLACK,FEMALE,23,NONFATAL,01/01/2008 12:00:00 AM,JAN,,N/A,TUE,4080002,01/01/2008 12:00:00 AM,DISTRICT 4,45237,BOND HILL
3,33XX WARSAW AV,39.1108984200691,-84.5650365978593,EAST PRICE HILL,EAST PRICE HILL,"3,627",169022233,1,,BLACK,MALE,14,NONFATAL,08/29/2016 12:00:00 AM,AUG,182800,18,MON,169022233,08/29/2016 06:28:00 PM,DISTRICT 3,,EAST PRICE HILL
1,16XX LINN ST,39.1141332290187,-84.526985696045,WEST END,WEST END,"4,577",199006239,2,,BLACK,FEMALE,21,NONFATAL,03/28/2019 12:00:00 AM,MAR,230000,23,THU,199006239,03/28/2019 11:00:00 PM,DISTRICT 1,,WEST END
1,XX BACK ST,39.1152412373616,-84.5153806703406,WEST END,OVER-THE-RHINE,"1,130",11004280,1,"CINC, OH 45202",BLACK,MALE,25,FATAL,09/17/2010 12:00:00 AM,SEP,,N/A,FRI,11004280,09/17/2010 12:00:00 AM,DISTRICT 1,45202,OTR
3,31XX RIVER RD,39.0863268012927,-84.5740959291918,RIVERSIDE,RIVERSIDE,"4,186",189000636,1,,BLACK,MALE,39,NONFATAL,01/05/2018 12:00:00 AM,JAN,224500,22,FRI,189000636,01/05/2018 10:45:00 PM,DISTRICT 3,,RIVERSIDE - SEDAMSVILLE
2,18XX HEWITT AV,39.137376020682,-84.4693664364381,EVANSTON,EVANSTON,"3,059",159014795,3,"CINCINNATI, OH 45225",BLACK,MALE,18,FATAL,06/10/2015 12:00:00 AM,JUN,144300,14,WED,159014795,06/10/2015 02:43:00 PM,DISTRICT 2,45207,EVANSTON
5,50XX WINNESTE AV,39.1822730075137,-84.5127512097408,WINTON HILLS,WINTON HILLS,"2,556",149005762,1,"CINCINNATI, OH 45232",BLACK,FEMALE,22,NONFATAL,03/17/2014 12:00:00 AM,MAR,193300,19,MON,149005762,03/17/2014 07:33:00 PM,DISTRICT 5,45232,WINTON HILLS
1,XX BACK ST,39.1143030910607,-84.5153670418942,OVER-THE-RHINE,OVER-THE-RHINE,516,10901435,1,,BLACK,MALE,27,NONFATAL,04/10/2009 12:00:00 AM,APR,,N/A,FRI,10901435,04/10/2009 12:00:00 AM,DISTRICT 1,45202,OTR
1,5XX E THIRTEENTH,39.1109720898927,-84.504719405628,PENDLETON,PENDLETON,"1,132",11004227,1,"CINC, OH 45206",BLACK,MALE,29,NONFATAL,09/17/2010 12:00:00 AM,SEP,,N/A,FRI,11004227,09/17/2010 12:00:00 AM,DISTRICT 1,45202,PENDLETON
3,43XX GLENWAY AV,39.1141419218105,-84.5859247576891,WEST PRICE HILL,WEST PRICE HILL,929,31002706,1,,BLACK,MALE,11,NONFATAL,04/03/2010 12:00:00 AM,APR,,N/A,SAT,31002706,04/03/2010 12:00:00 AM,DISTRICT 3,45205,WEST PRICE HILL
5,14XX ELKTON PL,39.202060600645,-84.5436824956414,COLLEGE HILL,COLLEGE HILL,"1,859",129017328,1,"CINC, OH 45224",BLACK,MALE,35,NONFATAL,06/25/2012 12:00:00 AM,JUN,234000,23,MON,129017328,06/25/2012 11:40:00 PM,DISTRICT 5,45224,COLLEGE HILL
1,20XX COLERAIN AV,39.1194858435791,-84.5331536045077,WEST END,WEST END,740,10904590,1,,BLACK,MALE,36,NONFATAL,10/02/2009 12:00:00 AM,OCT,,N/A,FRI,10904590,10/02/2009 12:00:00 AM,DISTRICT 1,45214,WEST END
3,20XX WERON LN,39.1480174029321,-84.5591338126574,EAST WESTWOOD,MILLVALE,"3,804",179002659,1,,BLACK,MALE,20,FATAL,01/28/2017 12:00:00 AM,JAN,022300,2,SAT,179002659,01/28/2017 02:23:00 AM,DISTRICT 3,,EAST WESTWOOD
1,13XX MAIN ST,39.1105752703875,-84.5109415189262,OVER-THE-RHINE,OVER-THE-RHINE,"1,028",11002649,1,,BLACK,MALE,16,NONFATAL,06/27/2010 12:00:00 AM,JUN,,N/A,SUN,11002649,06/27/2010 12:00:00 AM,DISTRICT 1,45202,OTR
1,18XX VINE ST,39.1158656126869,-84.5174654702962,OVER-THE-RHINE,OVER-THE-RHINE,508,10901292,1,,BLACK,FEMALE,22,NONFATAL,03/30/2009 12:00:00 AM,MAR,,N/A,MON,10901292,03/30/2009 12:00:00 AM,DISTRICT 1,45202,OTR
2,60XX BRAMBLE AV,39.1519628537217,-84.3931299615554,MADISONVILLE,MADISONVILLE,"1,073",21003581,2,"CINC, OH 45227",BLACK,MALE,18,NONFATAL,08/14/2010 12:00:00 AM,AUG,,N/A,SAT,21003581,08/14/2010 12:00:00 AM,DISTRICT 2,45227,MADISONVILLE
5,54XX BETTMAN DR,39.1887685678884,-84.5122503680007,WINTON HILLS,WINTON HILLS,"3,702",169027852,1,"CINCINNATI, OH 45232",BLACK,MALE,25,NONFATAL,10/24/2016 12:00:00 AM,OCT,210600,21,MON,169027852,10/24/2016 09:06:00 PM,DISTRICT 5,,WINTON HILLS
4,26XX VINE ST,39.1299376038599,-84.5102763992859,CORRYVILLE,CORRYVILLE,"3,991",179027425,2,,BLACK,MALE,63,NONFATAL,07/17/2017 12:00:00 AM,JUL,014500,1,MON,179027425,07/17/2017 01:45:00 AM,DISTRICT 4,,CORRYVILLE
3,25XX TREVOR PL,39.1340651784062,-84.5528403670968,NORTH FAIRMT,NORTH FAIRMOUNT,"3,914",179016440,1,,BLACK,MALE,24,NONFATAL,05/07/2017 12:00:00 AM,MAY,171500,17,SUN,179016440,05/07/2017 05:15:00 PM,DISTRICT 3,,NORTH FAIRMOUNT
4,4XX GLENWOOD AV,39.1510735061191,-84.4992820657519,NORTH AVONDALE,AVONDALE,"4,053",179035610,1,,BLACK,MALE,36,NONFATAL,08/30/2017 12:00:00 AM,AUG,202900,20,WED,179035610,08/30/2017 08:29:00 PM,DISTRICT 4,,AVONDALE
1,17XX RACE ST,39.1148322488535,-84.5174294834256,OVER-THE-RHINE,OVER-THE-RHINE,383,10805804,1,,BLACK,MALE,35,NONFATAL,11/21/2008 12:00:00 AM,NOV,,N/A,FRI,10805804,11/21/2008 12:00:00 AM,DISTRICT 1,45202,OTR
1,17XX GOOSE ALLEY,39.1149350797526,-84.5175725003173,OVER-THE-RHINE,OVER-THE-RHINE,"3,559",169017588,1,"CINCINNATI, OH 45214",BLACK,MALE,16,NONFATAL,07/15/2016 12:00:00 AM,JUL,223500,22,FRI,169017588,07/15/2016 10:35:00 PM,DISTRICT 1,,OTR
1,8XX YORK ST,39.1179226541715,-84.5294485958536,WEST END,WEST END,321,10805064,1,,BLACK,MALE,34,NONFATAL,10/07/2008 12:00:00 AM,OCT,,N/A,TUE,10805064,10/07/2008 12:00:00 AM,DISTRICT 1,45214,WEST END
4,30XX MATHERS,39.1348051673289,-84.4875194058557,WALNUT HILLS,WALNUT HILLS,"2,223",139013227,1,"CINC, OH 45223",BLACK,MALE,23,NONFATAL,05/26/2013 12:00:00 AM,MAY,160000,16,SUN,139013227,05/26/2013 04:00:00 PM,DISTRICT 4,45206,WALNUT HILLS
1,8XX POPLAR ST,39.1144985131182,-84.5301814867741,WEST END,WEST END,"3,351",169001070,2,"CINCINNATI, OH 45224",BLACK,MALE,20,NONFATAL,01/12/2016 12:00:00 AM,JAN,201500,20,TUE,169001070,01/12/2016 08:15:00 PM,DISTRICT 1,,WEST END
3,21XX STATE AV,39.1240527900184,-84.544236096883,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,"1,109",31008814,1,"CINC, OH 45214",BLACK,MALE,23,NONFATAL,09/07/2010 12:00:00 AM,SEP,,N/A,TUE,31008814,09/07/2010 12:00:00 AM,DISTRICT 3,45214,SOUTH FAIRMOUNT
4,37XX ALASKA CT,39.1513358303296,-84.4976135695622,NORTH AVONDALE,AVONDALE,"4,180",179054933,1,,BLACK,MALE,26,NONFATAL,12/27/2017 12:00:00 AM,DEC,180000,18,WED,179054933,12/27/2017 06:00:00 PM,DISTRICT 4,,AVONDALE - NORTH AVONDALE
5,45XX WINTON RD,39.1698468719168,-84.5198984443831,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,800,50907289,1,,BLACK,MALE,28,NONFATAL,12/05/2009 12:00:00 AM,DEC,,N/A,SAT,50907289,12/05/2009 12:00:00 AM,DISTRICT 5,45232,SPRING GROVE VILLAGE
4,8XX OAK ST,39.1306603217874,-84.4899690019292,WALNUT HILLS,WALNUT HILLS,"2,940",159007696,2,0,BLACK,MALE,42,NONFATAL,03/31/2015 12:00:00 AM,MAR,190100,19,TUE,159007696,03/31/2015 07:01:00 PM,DISTRICT 4,45206,WALNUT HILLS
3,24XX HARRISON AV,39.1393083884037,-84.5792263281344,WESTWOOD,WESTWOOD,"1,088",31008464,1,"CINC, OH 45277",BLACK,MALE,28,NONFATAL,08/26/2010 12:00:00 AM,AUG,,N/A,THU,31008464,08/26/2010 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
3,12XX ILIFF AV,39.1142597358348,-84.5805226964928,WEST PRICE HILL,WEST PRICE HILL,"4,508",189033366,2,,WHITE,MALE,22,NONFATAL,12/23/2018 12:00:00 AM,DEC,170000,17,SUN,189033366,12/23/2018 05:00:00 PM,DISTRICT 3,,WEST PRICE HILL
5,23XX VINE ST,39.1242150665445,-84.5145237887335,CUF,MT. AUBURN,"4,210",189004218,1,,BLACK,MALE,21,NONFATAL,02/15/2018 12:00:00 AM,FEB,151500,15,THU,189004218,02/15/2018 03:15:00 PM,DISTRICT 5,,MOUNT AUBURN
4,13XX CALIFORNIA AV,39.1757301709944,-84.4746352584452,BOND HILL,BOND HILL,"1,184",41006799,1,"CINC, OH 45211",BLACK,MALE,41,FATAL,10/24/2010 12:00:00 AM,OCT,,N/A,SUN,41006799,10/24/2010 12:00:00 AM,DISTRICT 4,45237,BOND HILL
5,41XX KIRBY AV,39.1634297692733,-84.5482376920946,NORTHSIDE,NORTHSIDE,"1,530",51104351,1,"CIN, OH 45240",BLACK,MALE,26,NONFATAL,08/05/2011 12:00:00 AM,AUG,232000,23,FRI,51104351,08/05/2011 11:20:00 PM,DISTRICT 5,45223,NORTHSIDE
4,18XX HIGHLAND AV,39.1151072204841,-84.5029397690525,MT AUBURN,MT. AUBURN,"2,784",149025606,1,"CINC, OH 45206",BLACK,MALE,23,NONFATAL,10/08/2014 12:00:00 AM,OCT,160000,16,WED,149025606,10/08/2014 04:00:00 PM,DISTRICT 4,45202,MOUNT AUBURN
1,10XX EDEN PARK DR,39.1165805647058,-84.4967125350929,MT ADAMS,WALNUT HILLS,"2,149",139007263,1,"CINC, OH 45225",BLACK,MALE,29,NONFATAL,03/31/2013 12:00:00 AM,MAR,182500,18,SUN,139007263,03/31/2013 06:25:00 PM,DISTRICT 1,45202,WALNUT HILLS
1,XX E CLIFTON AV,39.1185230413381,-84.5171346802021,OVER-THE-RHINE,OVER-THE-RHINE,"3,348",169000259,1,"CINCINNATI, OH 45069",BLACK,MALE,34,NONFATAL,01/03/2016 12:00:00 AM,JAN,203000,20,SUN,169000259,01/03/2016 08:30:00 PM,DISTRICT 1,,OTR
1,1XX E THIRTEENTH ST,39.1108023393873,-84.5132335686214,OVER-THE-RHINE,OVER-THE-RHINE,"1,037",11002974,1,"CINC, OH 45202",BLACK,MALE,33,NONFATAL,07/04/2010 12:00:00 AM,JUL,,N/A,SUN,11002974,07/04/2010 12:00:00 AM,DISTRICT 1,45202,OTR
3,27XX HARRISON AV,39.1407682102099,-84.5912486591285,WESTWOOD,WESTWOOD,"3,144",159020471,1,"CINC, OH 45228",BLACK,MALE,18,NONFATAL,08/02/2015 12:00:00 AM,AUG,192000,19,SUN,159020471,08/02/2015 07:20:00 PM,DISTRICT 3,45211,WESTWOOD
5,47XX ESTE AV,39.1773209553885,-84.5076296711584,WINTON HILLS,WINTON HILLS,"3,444",169009502,1,"CINCINNATI, OH 45232",BLACK,MALE,14,NONFATAL,04/22/2016 12:00:00 AM,APR,195100,19,FRI,169009502,04/22/2016 07:51:00 PM,DISTRICT 5,,WINTON HILLS
1,8XX FINDLAY ST,39.1168896748141,-84.5276575058808,WEST END,WEST END,"1,047",11003052,1,"CINC, OH 45219",BLACK,MALE,28,NONFATAL,07/18/2010 12:00:00 AM,JUL,,N/A,SUN,11003052,07/18/2010 12:00:00 AM,DISTRICT 1,45214,WEST END
4,15XX ELIZABETH PL,39.177808650684,-84.4705375044318,BOND HILL,BOND HILL,"1,742",129004462,1,"CINC, OH 45237",BLACK,MALE,28,NONFATAL,02/19/2012 12:00:00 AM,FEB,195500,19,SUN,129004462,02/19/2012 07:55:00 PM,DISTRICT 4,45237,BOND HILL
4,22XX RICE ST,39.1235066852722,-84.5132916344507,MT AUBURN,MT. AUBURN,"3,123",159020511,1,"CINC, OH 45246",BLACK,MALE,43,FATAL,07/19/2015 12:00:00 AM,JUL,183300,18,SUN,159020511,07/19/2015 06:33:00 PM,DISTRICT 4,45219,MOUNT AUBURN
4,84XX ANTHONY WAYNE  AV,39.2156334083533,-84.4623719553445,CARTHAGE,HARTWELL,"2,397",139027049,1,,BLACK,MALE,26,FATAL,09/27/2013 12:00:00 AM,SEP,002000,0,FRI,139027049,09/27/2013 12:20:00 AM,DISTRICT 4,,HARTWELL
1,1XX E CLIFTON AV,39.1153648901487,-84.5146749165935,OVER-THE-RHINE,OVER-THE-RHINE,761,10905104,1,,BLACK,MALE,22,NONFATAL,10/28/2009 12:00:00 AM,OCT,,N/A,WED,10905104,10/28/2009 12:00:00 AM,DISTRICT 1,45202,OTR
5,51XX HAWAIIAN TE,39.1824757894166,-84.5671775108486,MT AIRY,MT. AIRY,880,51001131,1,,BLACK,FEMALE,26,FATAL,03/04/2010 12:00:00 AM,MAR,,N/A,THU,51001131,03/04/2010 12:00:00 AM,DISTRICT 5,45223,MOUNT AIRY
1,7XX CHESTNUT ST,39.1068627225865,-84.5261970583979,WEST END,WEST END,455,10900476,1,,BLACK,MALE,36,NONFATAL,02/07/2009 12:00:00 AM,FEB,,N/A,SAT,10900476,02/07/2009 12:00:00 AM,DISTRICT 1,45203,WEST END
0,4XX W 3RD ST,39.0972699493037,-84.5196928532453,CBD/RIVERFRONT,DOWNTOWN,"2,266",139017076,3,"COVINGTON, KY 41011",BLACK,MALE,15,FATAL,06/19/2013 12:00:00 AM,JUN,230500,23,WED,139017076,06/19/2013 11:05:00 PM,CENTRAL BUSINESS SECTION,45203,DOWNTOWN
4,36XX READING RD,39.1497338552849,-84.4874993450355,NORTH AVONDALE,AVONDALE,"2,659",149015064,1,"CINC, OH 45229",BLACK,MALE,32,NONFATAL,06/24/2014 12:00:00 AM,JUN,140400,14,TUE,149015064,06/24/2014 02:04:00 PM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
2,34XX EVANSTON AV,39.1393560089873,-84.4636840400514,EVANSTON,EVANSTON,"1,623",21104643,2,"CINC, OH 45207",BLACK,FEMALE,14,NONFATAL,10/28/2011 12:00:00 AM,OCT,230000,23,FRI,21104643,10/28/2011 11:00:00 PM,DISTRICT 2,45207,EVANSTON
3,33XX SAFFER ST,39.1449183780732,-84.5708519352886,EAST WESTWOOD,EAST WESTWOOD,981,31004816,2,,BLACK,MALE,20,NONFATAL,05/26/2010 12:00:00 AM,MAY,,N/A,WED,31004816,05/26/2010 12:00:00 AM,DISTRICT 3,45211,WESTWOOD
4,4XX GLENWOOD AV,39.1517835061191,-84.4974620657519,AVONDALE,AVONDALE,"3,083",159016354,1,"CINC, OH 45231",BLACK,FEMALE,22,NONFATAL,06/25/2015 12:00:00 AM,JUN,132000,13,THU,159016354,06/25/2015 01:20:00 PM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
1,10XX DAYTON ST,39.1178326360437,-84.5328876363335,WEST END,WEST END,"1,998",129030487,1,"CINC, OH 45205",BLACK,MALE,24,NONFATAL,10/19/2012 12:00:00 AM,OCT,223400,22,FRI,129030487,10/19/2012 10:34:00 PM,DISTRICT 1,45214,WEST END
5,XX JUERGENS AV,39.1509282246376,-84.5111656689848,CLIFTON,CLIFTON,"2,165",139008672,1,"CINC, OH 45220",BLACK,FEMALE,38,NONFATAL,04/13/2013 12:00:00 AM,APR,181100,18,SAT,139008672,04/13/2013 06:11:00 PM,DISTRICT 5,45220,CLIFTON
3,17XX CARLL ST,39.13502767867,-84.5502765870785,NORTH FAIRMT,NORTH FAIRMOUNT,"2,119",139004426,1,"CINC, OH 45247",WHITE,MALE,17,FATAL,02/24/2013 12:00:00 AM,FEB,205100,20,SUN,139004426,02/24/2013 08:51:00 PM,DISTRICT 3,45225,NORTH FAIRMOUNT
3,23XX VAN HART,39.1264006925781,-84.5591632615365,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,"2,273",139016177,1,"CINCINNATI, OH 45214",BLACK,MALE,34,FATAL,06/25/2013 12:00:00 AM,JUN,085900,8,TUE,139016177,06/25/2013 08:59:00 AM,DISTRICT 3,45214,SOUTH FAIRMOUNT
3,15XX FAIRMOUNT AV,39.1299001628491,-84.5443982733134,NORTH FAIRMT,NORTH FAIRMOUNT,405,30812640,1,,WHITE,MALE,54,NONFATAL,12/19/2008 12:00:00 AM,DEC,,N/A,FRI,30812640,12/19/2008 12:00:00 AM,DISTRICT 3,45225,NORTH FAIRMOUNT
5,50XX WINNESTE AVE,39.1807871480565,-84.5128000477286,WINTON HILLS,WINTON HILLS,"4,257",189011664,2,,BLACK,MALE,14,NONFATAL,05/06/2018 12:00:00 AM,MAY,030000,3,SUN,189011664,05/06/2018 03:00:00 AM,DISTRICT 5,,WINTON HILLS
1,17XX LANG ST,39.1141319287788,-84.5138684119626,OVER-THE-RHINE,OVER-THE-RHINE,"2,757",149023189,1,"CINTI, OH 45203",BLACK,MALE,43,NONFATAL,09/15/2014 12:00:00 AM,SEP,034500,3,MON,149023189,09/15/2014 03:45:00 AM,DISTRICT 1,45202,OTR
3,22XX WESTWOOD NORTHERN BV,39.1469110768973,-84.5674068419428,EAST WESTWOOD,EAST WESTWOOD,172,30805801,1,,BLACK,MALE,45,NONFATAL,06/22/2008 12:00:00 AM,JUN,,N/A,SUN,30805801,06/22/2008 12:00:00 AM,DISTRICT 3,45225,EAST WESTWOOD
4,15XX CREST HILL AV,39.2054065199366,-84.4600741644216,ROSELAWN,ROSELAWN,"3,203",159025152,1,"CINCINNATI, OH 45237",BLACK,MALE,39,NONFATAL,09/14/2015 12:00:00 AM,SEP,222000,22,MON,159025152,09/14/2015 10:20:00 PM,DISTRICT 4,,ROSELAWN
3,36XX MCHENRY AV,39.1507320116207,-84.5636022033302,EAST WESTWOOD,EAST WESTWOOD,"2,996",159011354,4,"CINCINNATI, OH 45211",BLACK,MALE,31,NONFATAL,05/07/2015 12:00:00 AM,MAY,133500,13,THU,159011354,05/07/2015 01:35:00 PM,DISTRICT 3,45225,EAST WESTWOOD
1,1XX W LIBERTY ST,39.1121918879571,-84.5184546518893,OVER-THE-RHINE,OVER-THE-RHINE,"2,213",139012753,3,"CINC, OH 45207",BLACK,FEMALE,29,NONFATAL,05/23/2013 12:00:00 AM,MAY,123700,12,THU,139012753,05/23/2013 12:37:00 PM,DISTRICT 1,45202,OTR
5,3XX WARNER ST,39.1256292053655,-84.5258076228157,CUF,CUF,"1,909",129021716,1,"CINC, OH 45211",BLACK,MALE,32,NONFATAL,08/04/2012 12:00:00 AM,AUG,000700,0,SAT,129021716,08/04/2012 12:07:00 AM,DISTRICT 5,45219,CUF
5,6XX TAFEL ST,39.1303919888607,-84.5292136179498,CUF,CUF,907,51001450,1,,OTHER,MALE,35,NONFATAL,03/23/2010 12:00:00 AM,MAR,,N/A,TUE,51001450,03/23/2010 12:00:00 AM,DISTRICT 5,45225,CUF
4,31XX READING RD,39.1350528149476,-84.4975619573935,AVONDALE,AVONDALE,"2,440",139029373,1,"DAYTON, OH 45406",BLACK,MALE,55,NONFATAL,10/27/2013 12:00:00 AM,OCT,022000,2,SUN,139029373,10/27/2013 02:20:00 AM,DISTRICT 4,45229,AVONDALE
4,31XX READING RD,39.1369621383412,-84.4966356240805,AVONDALE,AVONDALE,"2,582",149008672,1,"CINC, OH 45229",BLACK,MALE,45,FATAL,04/20/2014 12:00:00 AM,APR,003300,0,SUN,149008672,04/20/2014 12:33:00 AM,DISTRICT 4,45229,AVONDALE
3,23XX BALTIMORE AV,39.1501900678584,-84.5625685031713,EAST WESTWOOD,MILLVALE,"1,883",129019073,1,"CINC, OH 45240",BLACK,MALE,22,NONFATAL,07/11/2012 12:00:00 AM,JUL,235500,23,WED,129019073,07/11/2012 11:55:00 PM,DISTRICT 3,45225,EAST WESTWOOD
1,16XX LINN ST,39.1134901888459,-84.5267766569732,WEST END,WEST END,"4,325",189015831,1,,BLACK,MALE,35,NONFATAL,06/15/2018 12:00:00 AM,JUN,235200,23,FRI,189015831,06/15/2018 11:52:00 PM,DISTRICT 1,,WEST END
0,4XX BRDWAY ST,39.1005447621337,-84.5067626257688,CBD/RIVERFRONT,DOWNTOWN,"1,083",11003720,1,"CINC, OH 45211",BLACK,MALE,18,NONFATAL,08/21/2010 12:00:00 AM,AUG,,N/A,SAT,11003720,08/21/2010 12:00:00 AM,CENTRAL BUSINESS SECTION,45202,DOWNTOWN
