DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,25XX HARRISON AV,39.1414535672084,-84.5829613133755,WESTWOOD,WESTWOOD,"4,556",199004125,1,,BLACK,MALE,32,FATAL,02/27/2019 12:00:00 AM,FEB,195200,19,WED,199004125,02/27/2019 07:52:00 PM,DISTRICT 3,,WESTWOOD
1,19XX RACE ST,39.1166001909449,-84.5194239148811,OVER-THE-RHINE,OVER-THE-RHINE,"1,817",129012187,1,"CINC, OH 45202",BLACK,FEMALE,38,NONFATAL,05/09/2012 12:00:00 AM,MAY,162000,16,WED,129012187,05/09/2012 04:20:00 PM,DISTRICT 1,45202,OTR
5,5XX DUTCH COLONY DR,39.1880796554265,-84.5107170876789,WINTON HILLS,WINTON HILLS,"2,805",149027823,2,"CINC, OH 45202",BLACK,MALE,21,NONFATAL,10/30/2014 12:00:00 AM,OCT,153000,15,THU,149027823,10/30/2014 03:30:00 PM,DISTRICT 5,45232,WINTON HILLS
3,28XX HARRISON AV,39.1451605939045,-84.5937796167787,WESTWOOD,WESTWOOD,"1,845",129015459,1,"CINCINNATI, OH 45211",BLACK,MALE,30,NONFATAL,06/09/2012 12:00:00 AM,JUN,142300,14,SAT,129015459,06/09/2012 02:23:00 PM,DISTRICT 3,45211,WESTWOOD
5,7XX DUTCH COLONY DR,39.1894892939576,-84.5136566740707,WINTON HILLS,WINTON HILLS,"1,027",51003740S1,1,"CINC, OH 45204",BLACK,MALE,23,NONFATAL,06/27/2010 12:00:00 AM,JUN,,N/A,SUN,51003740S1,06/27/2010 12:00:00 AM,DISTRICT 5,45232,WINTON HILLS
1,17XX LINN ST,39.1157826540159,-84.5278454042988,WEST END,WEST END,"3,488",169013137,3,"CINCINNATI, OH 45211",BLACK,MALE,21,NONFATAL,06/01/2016 12:00:00 AM,JUN,230500,23,WED,169013137,06/01/2016 11:05:00 PM,DISTRICT 1,,WEST END
3,31XX MOOSEWOOD AV,39.1411339192003,-84.5517272188825,MILLVALE,MILLVALE,368,30811190,2,,BLACK,MALE,26,FATAL,11/04/2008 12:00:00 AM,NOV,,N/A,TUE,30811190,11/04/2008 12:00:00 AM,DISTRICT 3,45225,MILLVALE
4,17XX STONYBROOK DR,39.197583728383,-84.4574718625943,ROSELAWN,ROSELAWN,"4,550",199003669,1,,BLACK,MALE,33,NONFATAL,02/22/2019 12:00:00 AM,FEB,014200,1,FRI,199003669,02/22/2019 01:42:00 AM,DISTRICT 4,,ROSELAWN
3,26XX ERLENE DR,39.1312468015411,-84.5916636066016,WESTWOOD,WESTWOOD,"3,767",169034043,1,,BLACK,MALE,22,NONFATAL,12/28/2016 12:00:00 AM,DEC,200000,20,WED,169034043,12/28/2016 08:00:00 PM,DISTRICT 3,,WESTWOOD
4,49XX OAKDALE AV,39.1769628537284,-84.4751849756229,BOND HILL,BOND HILL,"2,354",139022140,1,"CINC, OH 45237",BLACK,MALE,24,NONFATAL,08/16/2013 12:00:00 AM,AUG,103000,10,FRI,139022140,08/16/2013 10:30:00 AM,DISTRICT 4,45237,BOND HILL
